feature,importance
NO2_target_lag1,0.3247256
NO2_roll3,0.15799819
NO2_roll6,0.069035046
cosSZA,0.039627306
NO2_target_lag2,0.03189409
NO2_target_lag3,0.026897568
sin_hour,0.025242435
SZA_deg,0.02369891
solar_time_hr,0.022688674
O3_roll3,0.02216994
hour_sin,0.018283788
O3_target_lag6,0.017390277
hour_angle_deg,0.015975436
O3_target_lag3,0.013225255
month,0.012835407
O3_target_lag2,0.010719765
hour,0.010308382
solar_declination_deg,0.008747012
solar_elevation,0.008092356
O3_target_lag1,0.0080059245
