File, rows, missing, missing_pct
site_1_train_data_with_satellite.csv, 25081, 193, 0.77%
site_1_unseen_input_data_with_satellite.csv, 10872, 312, 2.87%
site_2_train_data_with_satellite.csv, 25969, 73, 0.28%
site_2_unseen_input_data_with_satellite.csv, 10920, 72, 0.66%
site_3_train_data_with_satellite.csv, 21913, 169, 0.77%
site_3_unseen_input_data_with_satellite.csv, 9288, 144, 1.55%
site_4_train_data_with_satellite.csv, 24505, 1, 0.00%
site_4_unseen_input_data_with_satellite.csv, 10488, 168, 1.60%
site_5_train_data_with_satellite.csv, 25081, 73, 0.29%
site_5_unseen_input_data_with_satellite.csv, 10848, 192, 1.77%
site_6_train_data_with_satellite.csv, 26353, 49, 0.19%
site_6_unseen_input_data_with_satellite.csv, 11160, 360, 3.23%
site_7_train_data_with_satellite.csv, 22777, 25, 0.11%
site_7_unseen_input_data_with_satellite.csv, 9720, 216, 2.22%
TOTAL, 244975, 2047, 0.84%
