File, rows, no2_missing, hcho_missing, ratio_missing, no2_missing_pct, hcho_missing_pct, ratio_missing_pct
site_1_train_data_with_satellite.csv, 25081, 193, 49, 193, 0.77%, 0.20%, 0.77%
site_1_unseen_input_data_with_satellite.csv, 10872, 312, 192, 312, 2.87%, 1.77%, 2.87%
site_2_train_data_with_satellite.csv, 25969, 73, 25, 73, 0.28%, 0.10%, 0.28%
site_2_unseen_input_data_with_satellite.csv, 10920, 72, 48, 72, 0.66%, 0.44%, 0.66%
site_3_train_data_with_satellite.csv, 21913, 169, 1, 169, 0.77%, 0.00%, 0.77%
site_3_unseen_input_data_with_satellite.csv, 9288, 144, 168, 168, 1.55%, 1.81%, 1.81%
site_4_train_data_with_satellite.csv, 24505, 1, 1, 1, 0.00%, 0.00%, 0.00%
site_4_unseen_input_data_with_satellite.csv, 10488, 168, 120, 168, 1.60%, 1.14%, 1.60%
site_5_train_data_with_satellite.csv, 25081, 73, 49, 73, 0.29%, 0.20%, 0.29%
site_5_unseen_input_data_with_satellite.csv, 10848, 192, 192, 192, 1.77%, 1.77%, 1.77%
site_6_train_data_with_satellite.csv, 26353, 49, 25, 49, 0.19%, 0.09%, 0.19%
site_6_unseen_input_data_with_satellite.csv, 11160, 360, 192, 360, 3.23%, 1.72%, 3.23%
site_7_train_data_with_satellite.csv, 22777, 25, 25, 25, 0.11%, 0.11%, 0.11%
site_7_unseen_input_data_with_satellite.csv, 9720, 216, 216, 216, 2.22%, 2.22%, 2.22%
TOTAL, 244975, 2047, 1303, 2071, 0.84%, 0.53%, 0.85%
