year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,NO2_satellite_filled,HCHO_satellite_filled
2024.0,5.0,5.0,0.0,7.93,69.81,20.71,11.12,-0.17,-1.87,-1.56,0.45221046443268664,0.72,0.3255915343915344
2024.0,5.0,5.0,1.0,13.16,66.96,19.11,10.73,-0.57,-0.63,-1.54,0.7823939849845865,0.6906059303824665,0.5403259259259259
2024.0,5.0,5.0,2.0,18.4,64.12,19.24,10.34,-0.97,0.61,-1.52,1.1423767825098663,0.6613149978513106,0.7554708994708994
2024.0,5.0,5.0,3.0,23.63,61.28,19.62,9.95,-1.37,1.85,-1.49,1.535076501420605,0.6320240653201546,0.9702052910052908
2024.0,5.0,5.0,4.0,26.54,55.63,19.74,9.69,-0.4,0.55,-1.42,1.8992271816083908,0.5737516115169746,1.089684656084656
2024.0,5.0,5.0,5.0,29.45,49.99,19.25,9.43,0.58,-0.75,-1.35,2.3452396122963566,0.5155822948001719,1.209164021164021
2024.0,5.0,5.0,6.0,32.36,44.34,19.37,9.17,1.55,-2.05,-1.27,2.9053461507558636,0.45730984099699185,1.3286433862433862
2024.0,5.0,5.0,7.0,32.45,45.76,19.38,8.73,1.23,-2.13,-0.87,2.823018628747796,0.4719553072625698,1.3323386243386244
2024.0,5.0,5.0,8.0,32.53,47.18,19.41,8.3,0.91,-2.2,-0.47,2.744803035842318,0.4866007735281478,1.3356232804232804
2024.0,5.0,5.0,9.0,32.62,48.6,20.65,7.86,0.58,-2.27,-0.07,2.671977188436722,0.5012462397937258,1.3393185185185184
2024.0,5.0,5.0,10.0,32.0,48.64,20.35,8.23,1.11,-2.21,-0.23,2.6190360159658406,0.501658788139235,1.3138624338624338
2024.0,5.0,5.0,11.0,31.38,48.67,21.6,8.59,1.63,-2.16,-0.39,2.566709107769309,0.501968199398367,1.288406349206349
2024.0,5.0,5.0,12.0,30.75,48.71,21.48,8.95,2.15,-2.1,-0.55,2.513113187974613,0.5023807477438762,1.2625396825396826
2024.0,5.0,5.0,13.0,31.79,48.42,18.99,8.46,2.06,-1.99,-0.6,2.613670291620863,0.4993897722389342,1.3052402116402115
2024.0,5.0,5.0,14.0,32.83,48.13,19.46,7.96,1.98,-1.87,-0.64,2.7154391783569705,0.49639879673399223,1.3479407407407407
2024.0,5.0,5.0,15.0,33.86,47.84,17.89,7.46,1.89,-1.76,-0.68,2.8176097500191704,0.4934078212290503,1.3902306878306878
2024.0,5.0,5.0,16.0,33.74,49.18,17.96,7.31,1.62,-1.95,-0.35,2.731125219024094,0.5072281908036098,1.3853037037037037
2024.0,5.0,5.0,17.0,33.62,50.52,16.35,7.16,1.35,-2.14,-0.01,2.649228545176024,0.5210485603781694,1.3803767195767194
2024.0,5.0,5.0,18.0,33.5,51.86,16.37,7.01,1.08,-2.34,0.32,2.5715640943497995,0.5348689299527287,1.3754497354497353
2024.0,5.0,5.0,19.0,32.92,52.05,20.08,6.84,1.18,-2.21,-0.2,2.517816941043326,0.5368285345938977,1.3516359788359789
2024.0,5.0,5.0,20.0,32.33,52.24,17.06,6.66,1.27,-2.08,-0.73,2.4636987037172076,0.5387881392350666,1.32741164021164
2024.0,5.0,5.0,21.0,31.74,52.43,15.39,6.49,1.36,-1.95,-1.25,2.4099727023282242,0.5407477438762355,1.3031873015873017
2024.0,5.0,5.0,22.0,39.5,49.13,18.34,6.45,1.67,-1.86,-1.41,3.20062939952349,0.5067125053717232,1.6217989417989416
2024.0,5.0,5.0,23.0,47.25,45.82,18.27,6.41,1.99,-1.78,-1.58,4.105176051214899,0.4725741297808337,1.94
2022.0,3.0,26.0,0.0,130.89,18.32,14.52,6.27,0.42,-0.49,-0.15,5.397221300829382,0.16676202860858255,0.9000515729757605
2022.0,3.0,26.0,1.0,129.03,19.79,18.35,6.09,0.6,-0.94,-0.04,4.925316352162602,0.18014304291287384,0.8872614749871067
2022.0,3.0,26.0,2.0,127.16,21.25,21.55,5.91,0.78,-1.39,0.07,4.520441071735554,0.19343302990897265,0.8744026130307719
2022.0,3.0,26.0,3.0,125.29,22.72,19.41,5.73,0.96,-1.84,0.18,4.16578938994116,0.20681404421326394,0.861543751074437
2022.0,3.0,26.0,4.0,117.73,23.92,18.6,5.44,0.98,-0.99,0.3,3.7180497448004233,0.2177373211963589,0.8095581915076501
