year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,O3_target,NO2_target,NO2_satellite_filled,HCHO_satellite_filled
2022.0,7.0,28.0,0.0,79.8,31.62,23.41,7.18,-0.94,1.02,1.01,2.9112042297025633,2.92,10.38,0.11464626812875842,0.3337587006960557
2022.0,7.0,28.0,1.0,98.98,33.98,24.17,7.2,-0.09,0.18,0.75,3.360127235031903,2.4,7.9,0.12320304209409268,0.4139778971791428
2022.0,7.0,28.0,2.0,118.16,36.34,23.36,7.21,0.77,-0.65,0.49,3.750742134000359,3.07,13.07,0.13175981605942697,0.49419709366222986
2022.0,7.0,28.0,3.0,137.33,38.7,23.99,7.22,1.62,-1.48,0.23,4.093418074408559,3.65,12.78,0.14031659002476127,0.5743744657467335
2022.0,7.0,28.0,4.0,146.15,43.56,24.85,7.23,1.25,-1.24,0.3,3.870281877837373,5.45,10.75,0.1579377431906615,0.6112635852973501
2022.0,7.0,28.0,5.0,154.97,48.43,26.38,7.24,0.88,-1.01,0.37,3.691176496336582,8.47,7.95,0.17559515387336402,0.6481527048479668
2022.0,7.0,28.0,6.0,163.78,53.3,28.91,7.24,0.51,-0.78,0.44,3.5445842676062784,6.18,11.9,0.19325256455606651,0.685
2022.0,7.0,28.0,7.0,160.73,54.38,27.97,7.46,0.63,-0.32,0.33,3.4094897508721558,13.15,9.63,0.19716837637071102,0.672243558432043
2022.0,7.0,28.0,8.0,157.68,55.46,28.93,7.68,0.75,0.14,0.22,3.2796567587710257,16.25,11.05,0.2010841881853555,0.659487116864086
2022.0,7.0,28.0,9.0,154.63,56.54,28.74,7.9,0.87,0.6,0.11,3.1547837819323368,15.12,15.8,0.20500000000000002,0.646730675296129
2022.0,7.0,28.0,10.0,133.13,45.29,33.22,7.8,0.98,0.04,0.13,3.390824083821709,14.25,15.05,0.16421029359745312,0.5568082183416778
2022.0,7.0,28.0,11.0,111.63,34.04,30.63,7.69,1.09,-0.53,0.14,3.782883974210226,8.53,13.2,0.12342058719490627,0.46688576138722676
2022.0,7.0,28.0,12.0,90.13,22.79,32.68,7.59,1.19,-1.09,0.16,4.562014840190741,3.55,16.0,0.0826308807923594,0.3769633044327757
2022.0,7.0,28.0,13.0,86.74,21.42,32.84,7.23,1.3,-1.24,0.74,4.671233739954892,3.85,16.27,0.07766360099044926,0.3627848333129808
2022.0,7.0,28.0,14.0,83.35,20.05,29.82,6.87,1.41,-1.39,1.32,4.795378314799034,5.45,13.45,0.0726963211885391,0.34860636219318597
2022.0,7.0,28.0,15.0,79.95,18.68,29.97,6.51,1.52,-1.54,1.9,4.937115007519096,3.4,16.22,0.06772904138662894,0.3343860666748077
2022.0,7.0,28.0,16.0,82.89,23.51,28.52,6.67,2.04,-1.9,1.29,4.0670654209606525,2.55,15.22,0.08524142200212241,0.34668243985834657
2022.0,7.0,28.0,17.0,85.83,28.34,29.41,6.82,2.57,-2.26,0.69,3.493581783807805,2.2,15.38,0.10275380261761585,0.3589788130418855
2022.0,7.0,28.0,18.0,88.77,33.17,28.47,6.98,3.09,-2.62,0.08,3.087112072940652,3.52,13.68,0.12026618323310931,0.3712751862254244
2022.0,7.0,28.0,19.0,83.6,32.66,26.55,6.81,3.49,-2.23,0.27,2.952716458680039,2.48,14.82,0.11841704987619384,0.3496519721577726
2022.0,7.0,28.0,20.0,78.43,32.15,28.07,6.64,3.88,-1.84,0.46,2.8140569711209555,1.7,14.45,0.11656791651927839,0.32802875809012094
2022.0,7.0,28.0,21.0,73.26,31.64,31.69,6.47,4.28,-1.45,0.65,2.670927424228424,3.58,11.3,0.11471878316236293,0.30640554402246917
2022.0,7.0,28.0,22.0,78.16,43.07,26.8,6.79,3.14,-1.5,0.41,2.093347493533033,3.27,7.5,0.15616112486735056,0.3268994993283673
2022.0,7.0,28.0,23.0,83.06,54.5,27.99,7.12,2.0,-1.55,0.16,1.758033199822902,2.17,10.22,0.19760346657233818,0.3473934546342655
2024.0,5.0,23.0,0.0,43.31,9.13,9.27,15.7,3.82,1.18,0.69,14.977587224751337,44.22,8.5,0.08614477369895328,1.2902408620325376
2024.0,5.0,23.0,1.0,44.25,9.14,10.02,15.54,3.82,1.36,0.94,15.285918177708217,31.7,22.22,0.08623912722983931,1.3182442425522924
2024.0,5.0,23.0,2.0,45.19,9.15,10.19,15.39,3.82,1.55,1.18,15.59357518322694,24.9,24.23,0.08633348076072535,1.3462476230720473
2024.0,5.0,23.0,3.0,46.13,9.16,8.16,15.24,3.83,1.73,1.43,15.900560448558943,24.97,27.65,0.08642783429161138,1.3742510035918023
2024.0,5.0,23.0,4.0,45.17,9.48,8.54,15.09,3.65,1.42,1.35,15.044099754835425,28.92,26.53,0.08944714727996463,1.345651806465244
2024.0,5.0,23.0,5.0,44.2,9.8,8.5,14.94,3.48,1.11,1.28,14.240349389544534,37.52,26.1,0.09246646026831787,1.3167547010352842
2024.0,5.0,23.0,6.0,43.24,10.13,9.64,14.79,3.31,0.79,1.21,13.477231587816027,46.7,20.73,0.09558012678755715,1.288155503908726
2024.0,5.0,23.0,7.0,44.5,9.86,7.84,14.52,3.46,0.99,1.37,14.249759916616275,55.92,18.07,0.09303258145363408,1.3256919501373337
2024.0,5.0,23.0,8.0,45.75,9.59,8.29,14.25,3.62,1.19,1.53,15.062495927607214,65.57,14.52,0.09048503611971105,1.3629304880625395
2024.0,5.0,23.0,9.0,47.01,9.33,6.9,13.99,3.78,1.39,1.69,15.908640164953193,66.55,16.25,0.08803184431667405,1.400466934291147
2024.0,5.0,23.0,10.0,47.12,9.54,7.46,14.29,3.59,1.23,1.99,15.594855620313417,71.28,17.48,0.09001326846528084,1.4037439256285653
2024.0,5.0,23.0,11.0,47.22,9.75,6.14,14.59,3.41,1.07,2.29,15.291349627817777,74.25,14.23,0.09199469261388765,1.4067230086625817
2024.0,5.0,23.0,12.0,47.33,9.96,8.21,14.9,3.22,0.91,2.59,15.00381212349397,72.3,16.77,0.0939761167624945,1.41
2024.0,5.0,23.0,13.0,43.01,13.37,7.88,15.02,3.21,0.91,2.56,10.156930635877314,67.7,25.52,0.12615067079463363,1.281303612930488
2024.0,5.0,23.0,14.0,38.7,16.78,8.73,15.14,3.19,0.91,2.54,7.2818790273362755,57.23,34.0,0.15832522482677283,1.1529051341643777
2024.0,5.0,23.0,15.0,34.38,20.2,9.11,15.26,3.18,0.91,2.51,5.373768511405072,44.55,44.45,0.190594132389798,1.024208747094866
2024.0,5.0,23.0,16.0,23.06,36.07,9.89,15.65,2.53,0.99,2.08,2.018541171104194,36.48,48.62,0.34033318590594136,0.6869765476442002
2024.0,5.0,23.0,17.0,11.74,51.95,10.99,16.04,1.89,1.06,1.64,0.7135213888945939,34.95,45.2,0.49016659295297066,0.3497443481935347
2024.0,5.0,23.0,18.0,0.41,67.83,13.26,16.43,1.24,1.14,1.21,0.01908475068666807,30.48,40.4,0.64,0.012214240439467566
2024.0,5.0,23.0,19.0,8.67,60.09,11.37,15.94,1.76,0.95,1.28,0.4555555528818541,36.42,26.53,0.5669703670942061,0.25828649904922885
2024.0,5.0,23.0,20.0,16.94,52.36,10.69,15.44,2.28,0.75,1.35,1.0214996434608072,37.1,25.42,0.4940350877192982,0.5046566659623918
2024.0,5.0,23.0,21.0,25.2,44.63,5.47,14.95,2.79,0.56,1.43,1.782781444436517,44.3,20.97,0.4210998083443904,0.7507289245721529
2024.0,5.0,23.0,22.0,26.49,39.9,6.42,14.7,2.77,0.68,1.6,2.096203847982252,45.1,18.45,0.3764705882352941,0.7891590957109654
2024.0,5.0,23.0,23.0,27.78,35.18,6.78,14.45,2.74,0.8,1.78,2.4932214668499704,40.4,24.7,0.3319357216570839,0.8275892668497782
2022.0,7.0,24.0,0.0,83.83,40.59,17.08,7.88,0.26,-1.96,-0.61,2.141822748604426,5.38,6.78,0.13072977219167325,0.28
2022.0,7.0,24.0,1.0,80.22,39.24,13.65,8.0,0.46,-1.9,-0.32,2.1201020748293624,5.77,6.5,0.12638177533385705,0.2679422641059287
2022.0,7.0,24.0,2.0,76.6,37.89,14.44,8.11,0.65,-1.84,-0.03,2.0965599072361316,5.25,10.57,0.12203377847604087,0.25585112728140286
2022.0,7.0,24.0,3.0,72.98,36.54,13.68,8.22,0.84,-1.77,0.25,2.071278170608918,9.1,7.27,0.11768578161822468,0.24375999045687707
2022.0,7.0,24.0,4.0,72.29,44.11,11.17,8.18,0.88,-1.76,0.4,1.6995904381135483,12.4,5.57,0.14206677140612728,0.24145532625551716
2022.0,7.0,24.0,5.0,71.59,51.67,9.62,8.15,0.93,-1.75,0.55,1.4368684636104054,12.9,7.35,0.16641555380989792,0.23911726112370277
2022.0,7.0,24.0,6.0,70.9,59.24,9.56,8.11,0.97,-1.73,0.7,1.241178652698994,9.57,5.9,0.1907965435978005,0.23681259692234288
2022.0,7.0,24.0,7.0,71.43,52.51,7.73,8.13,0.75,-1.73,0.78,1.4107229900877256,4.6,5.2,0.1691209740769835,0.23858284623643092
2022.0,7.0,24.0,8.0,71.97,45.78,9.05,8.14,0.54,-1.73,0.87,1.6303424118545702,12.7,8.62,0.14744540455616656,0.24038649648097343
2022.0,7.0,24.0,9.0,72.51,39.05,11.37,8.16,0.32,-1.74,0.95,1.9256616394340078,17.38,8.03,0.12576983503534955,0.24219014672551595
2022.0,7.0,24.0,10.0,75.76,37.0,13.91,7.9,0.66,-1.64,0.7,2.1234466495310893,16.85,6.35,0.11916732128829537,0.25304544912322563
2022.0,7.0,24.0,11.0,79.01,34.96,12.8,7.65,0.99,-1.53,0.46,2.3437633022140325,16.12,9.32,0.11259701492537315,0.2639007515209353
2022.0,7.0,24.0,12.0,82.26,32.91,14.52,7.4,1.33,-1.43,0.21,2.5921727152280423,15.6,12.3,0.10599450117831893,0.27475605391864494
2022.0,7.0,24.0,13.0,82.02,31.82,14.98,7.25,1.25,-1.25,0.05,2.6731461376583936,9.07,13.95,0.10248389630793403,0.27395443158773713
2022.0,7.0,24.0,14.0,81.77,30.72,14.89,7.1,1.18,-1.06,-0.1,2.760424660183841,5.5,14.05,0.09894108405341713,0.2731194083263748
2022.0,7.0,24.0,15.0,81.53,29.63,11.02,6.95,1.1,-0.87,-0.26,2.8535724469450834,5.15,22.1,0.09543047918303221,0.2723177859954671
2022.0,7.0,24.0,16.0,79.91,28.84,9.06,6.95,0.96,-1.23,0.18,2.873485346303589,0.9,26.37,0.09288609583660645,0.26690683526183945
2022.0,7.0,24.0,17.0,78.29,28.06,8.92,6.96,0.82,-1.6,0.63,2.8934883525234576,2.55,25.93,0.09037391987431265,0.2614958845282119
2022.0,7.0,24.0,18.0,76.68,27.27,8.67,6.97,0.69,-1.96,1.07,2.916084324818432,1.83,27.0,0.08782953652788689,0.2561183347250388
2022.0,7.0,24.0,19.0,70.27,37.32,9.53,6.94,0.55,-1.36,0.63,1.952681584847088,1.67,25.38,0.12019795758051849,0.2347083383037099
2022.0,7.0,24.0,20.0,63.86,47.36,12.41,6.92,0.42,-0.76,0.19,1.3983643149321803,2.1,12.57,0.15253417124901808,0.21329834188238103
2022.0,7.0,24.0,21.0,57.44,57.4,13.43,6.89,0.28,-0.17,-0.26,1.0377808463816214,4.6,7.0,0.1848703849175177,0.19185494453059765
2022.0,7.0,24.0,22.0,64.37,60.52,13.1,6.96,-0.13,-0.21,-0.5,1.1030309586194766,5.35,3.93,0.1949190887666929,0.2150017893355601
2022.0,7.0,24.0,23.0,71.29,63.65,15.32,7.03,-0.54,-0.25,-0.73,1.1615377229759416,5.28,3.1,0.20500000000000002,0.23811523321006806
2023.0,7.0,25.0,0.0,25.88,99.9,8.61,9.01,-2.2,0.32,-0.66,3.7057021399469825,7.17,12.4,0.30671770099885376,1.1366044409510712
2023.0,7.0,25.0,1.0,17.26,107.31,7.19,8.56,-2.15,0.42,-0.75,2.3007653121195135,10.95,14.07,0.32946823317504503,0.7580290823344471
2023.0,7.0,25.0,2.0,8.63,114.72,6.24,8.12,-2.11,0.51,-0.83,1.0760770817797463,7.15,19.7,0.3522187653512363,0.37901454116722355
2023.0,7.0,25.0,3.0,0.0,122.14,5.99,7.68,-2.06,0.61,-0.91,0.0,3.33,26.1,0.375,0.0
2023.0,7.0,25.0,4.0,0.24,118.64,6.04,7.8,-1.88,0.9,-0.45,0.02893688832377743,7.4,24.15,0.36425413459963973,0.010540381214383967
2023.0,7.0,25.0,5.0,0.49,115.15,8.73,7.93,-1.69,1.18,0.01,0.060870078559094924,15.43,18.72,0.353538971671852,0.021519944979367267
2023.0,7.0,25.0,6.0,0.73,111.66,12.62,8.05,-1.5,1.47,0.48,0.09351837700889068,30.77,13.75,0.3428238087440642,0.03206032619375123
2023.0,7.0,25.0,7.0,1.53,100.66,11.89,7.12,-2.12,2.09,0.64,0.21742337319613134,37.48,11.12,0.30905108891436056,0.06719493024169779
2023.0,7.0,25.0,8.0,2.34,89.65,12.57,6.2,-2.74,2.71,0.8,0.37336816731339983,40.58,12.47,0.27524766661208455,0.10276871684024368
2023.0,7.0,25.0,9.0,3.15,78.65,13.3,5.27,-3.36,3.33,0.96,0.5729062384408139,36.73,15.18,0.2414749467823809,0.13834250343878957
2023.0,7.0,25.0,10.0,2.22,85.26,9.53,5.17,-1.49,1.77,0.64,0.37245976993056323,39.5,11.75,0.26176928115277553,0.0974985262330517
2023.0,7.0,25.0,11.0,1.28,91.86,8.87,5.07,0.38,0.21,0.32,0.19932200773542078,35.52,11.5,0.2820329130505977,0.05621536647671449
2023.0,7.0,25.0,12.0,0.35,98.47,8.15,4.98,2.25,-1.35,0.0,0.05084354586661478,21.88,13.85,0.3023272474209923,0.015371389270976617
2023.0,7.0,25.0,13.0,11.29,82.5,8.19,5.08,2.39,-1.16,0.43,1.9575448355037903,16.25,15.88,0.2532953987227771,0.49583709962664574
2023.0,7.0,25.0,14.0,22.22,66.53,8.0,5.18,2.53,-0.97,0.85,4.777473158154606,10.23,26.1,0.20426355002456198,0.9758636274317155
