feature,importance
sunset_flag,0.40081692
sin_hour,0.067082904
solar_declination_deg,0.0612356
solar_elevation,0.051445663
hour_angle_deg,0.048811633
cosSZA,0.035178706
EoT_min,0.032008287
solar_time_hr,0.031660076
w_forecast,0.026551627
SZA_deg,0.025939476
NO2_forecast,0.024307035
NO2_forecast_per_blh,0.019279623
cos_hour,0.016973099
O3_forecast,0.016485583
NO2_satellite_filled,0.015554163
q_forecast,0.0148160765
HCHO_satellite_filled,0.0118496325
ratio_satellite,0.011489744
wind_sector,0.01137174
T_forecast,0.0104158465
