feature,importance
hour_angle_deg,0.18318571
solar_elevation,0.16552603
solar_time_hr,0.16328473
solar_declination_deg,0.062083874
SZA_deg,0.059267957
cosSZA,0.04750731
EoT_min,0.043982092
w_forecast,0.024051147
NO2_forecast,0.018521031
sin_hour,0.017862387
O3_forecast,0.016929714
blh_forecast,0.016770715
wind_sector,0.015749319
q_forecast,0.014637294
T_forecast,0.014080902
HCHO_satellite_filled,0.014064949
NO2_satellite_filled,0.013583131
NO2_forecast_per_blh,0.013125922
ratio_satellite,0.012942462
v_forecast,0.0122989165
